converter_type,equipment_bucket,group_ids,group_names,grade_code,section_group,open_slot,candidate_index,option_id,value_0,value_1,probability,probability_source,tier,source_block_index,source_file_offset
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,1,63,120,0,7,float_a,1,0,0x20
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,2,67,120,0,7,float_a,1,0,0x38
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,3,66,120,0,7,float_a,1,0,0x50
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,4,64,120,0,7,float_a,1,0,0x68
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,5,65,120,0,7,float_a,1,0,0x80
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,6,68,120,0,7,float_a,1,0,0x98
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,7,69,120,0,7,float_a,1,0,0xb0
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,8,327,60,0,2,float_a,1,0,0xc8
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,9,736,108,0,7,float_a,1,0,0xe0
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,10,63,144,0,5,float_a,2,0,0xf8
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,11,67,144,0,5,float_a,2,0,0x110
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,12,66,144,0,5,float_a,2,0,0x128
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,13,64,144,0,5,float_a,2,0,0x140
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,14,65,144,0,5,float_a,2,0,0x158
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,15,68,144,0,5,float_a,2,0,0x170
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,16,69,144,0,5,float_a,2,0,0x188
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,17,327,72,0,1,float_a,2,0,0x1a0
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,1,18,736,130,0,6,float_a,2,0,0x1b8
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,2,1,796,5,1,6,float_a,1,0,0x308
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,2,2,797,5,1,6,float_a,1,0,0x320
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,2,3,800,5,1,6,float_a,1,0,0x338
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,2,4,798,5,1,6,float_a,1,0,0x350
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,2,5,799,5,1,6,float_a,1,0,0x368
normal,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,0,2,6,801,5,1,6,float_a,1,0,0x380
