converter_type,item_group_id,bucket_signature_index,bucket_group_ids,section_type,section_group,open_slot,candidate_index,option_id,value_0,value_1,probability,probability_source,tier,mapping_status,source_block_index,source_file_offset
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,1,63,656,0,7.5,float_a,3,screen_confirmed,10,0x7870
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,2,63,880,0,5,float_a,4,screen_confirmed,10,0x7888
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,3,67,656,0,7.5,float_a,3,screen_confirmed,10,0x78a0
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,4,67,880,0,5,float_a,4,screen_confirmed,10,0x78b8
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,5,66,656,0,7.5,float_a,3,screen_confirmed,10,0x78d0
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,6,66,880,0,5,float_a,4,screen_confirmed,10,0x78e8
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,7,64,656,0,7.5,float_a,3,screen_confirmed,10,0x7900
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,8,64,880,0,5,float_a,4,screen_confirmed,10,0x7918
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,9,65,656,0,7.5,float_a,3,screen_confirmed,10,0x7930
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,10,65,880,0,5,float_a,4,screen_confirmed,10,0x7948
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,11,68,656,0,7.5,float_a,3,screen_confirmed,10,0x7960
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,12,68,880,0,5,float_a,4,screen_confirmed,10,0x7978
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,13,69,656,0,7.5,float_a,3,screen_confirmed,10,0x7990
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,14,69,880,0,5,float_a,4,screen_confirmed,10,0x79a8
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,15,736,300,0,7.5,float_a,3,screen_confirmed,10,0x79c0
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,1,16,736,400,0,5,float_a,4,screen_confirmed,10,0x79d8
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,1,63,1200,0,2.8599999,float_a,5,screen_confirmed,10,0x7b58
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,2,67,1200,0,2.8599999,float_a,5,screen_confirmed,10,0x7b70
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,3,66,1200,0,2.8599999,float_a,5,screen_confirmed,10,0x7b88
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,4,64,1200,0,2.8599999,float_a,5,screen_confirmed,10,0x7ba0
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,5,65,1200,0,2.8599999,float_a,5,screen_confirmed,10,0x7bb8
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,6,68,1200,0,2.8599999,float_a,5,screen_confirmed,10,0x7bd0
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,7,69,1200,0,2.86999989,float_a,5,screen_confirmed,10,0x7be8
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,8,460,106,0,3.6400001,float_a,2,screen_confirmed,10,0x7c00
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,9,460,127,0,3.63000011,float_a,3,screen_confirmed,10,0x7c18
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,10,70,22,0,3.6400001,float_a,2,screen_confirmed,10,0x7c30
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,11,70,26,0,3.63000011,float_a,3,screen_confirmed,10,0x7c48
burning,18,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",11,3,2,12,623,20,0,3.6400001,float_a,2,screen_confirmed,10,0x7c60
