converter_type,converter_probability,converter_probability_source,equipment_bucket,item_group_ids,item_group_names,grade_code,grade_name,section_group,open_slot,candidate_index,option_id,option_name,value_raw,value_0_low16,value_1_high16,normal_probability,improved_probability,option_tier,probability_sum_valid,source_file_name,source_block_index,source_file_offset,mapping_basis,mapping_confidence
일반 변환기,7,float_a,헬멧,0,헬멧,7,유니크,0,1,1,63,힘상승,68,68,0,7,7,1,true,item_option_open.dat,52,0x263d0,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,헬멧,0,헬멧,7,유니크,0,1,2,67,민첩성상승,68,68,0,7,7,1,true,item_option_open.dat,52,0x263e8,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,헬멧,0,헬멧,7,유니크,0,1,3,66,건강상승,68,68,0,7,7,1,true,item_option_open.dat,52,0x26400,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,헬멧,0,헬멧,7,유니크,0,1,4,64,지혜상승,68,68,0,7,7,1,true,item_option_open.dat,52,0x26418,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,헬멧,0,헬멧,7,유니크,0,1,5,65,지식상승,68,68,0,7,7,1,true,item_option_open.dat,52,0x26430,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,헬멧,0,헬멧,7,유니크,0,1,6,68,카리스마상승,68,68,0,7,7,1,true,item_option_open.dat,52,0x26448,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,헬멧,0,헬멧,7,유니크,0,1,7,69,행운상승,68,68,0,7,7,1,true,item_option_open.dat,52,0x26460,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,2,float_a,헬멧,0,헬멧,7,유니크,0,1,8,327,모든능력치증가,34,34,0,2,2,1,true,item_option_open.dat,52,0x26478,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,헬멧,0,헬멧,7,유니크,0,1,9,736,현아이템착용레벨감소,72,72,0,7,7,1,true,item_option_open.dat,52,0x26490,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,5,float_a,헬멧,0,헬멧,7,유니크,0,1,10,63,힘상승,81,81,0,5,5,2,true,item_option_open.dat,52,0x264a8,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,5,float_a,헬멧,0,헬멧,7,유니크,0,1,11,67,민첩성상승,81,81,0,5,5,2,true,item_option_open.dat,52,0x264c0,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,5,float_a,헬멧,0,헬멧,7,유니크,0,1,12,66,건강상승,81,81,0,5,5,2,true,item_option_open.dat,52,0x264d8,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,5,float_a,헬멧,0,헬멧,7,유니크,0,1,13,64,지혜상승,81,81,0,5,5,2,true,item_option_open.dat,52,0x264f0,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,5,float_a,헬멧,0,헬멧,7,유니크,0,1,14,65,지식상승,81,81,0,5,5,2,true,item_option_open.dat,52,0x26508,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,5,float_a,헬멧,0,헬멧,7,유니크,0,1,15,68,카리스마상승,81,81,0,5,5,2,true,item_option_open.dat,52,0x26520,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
