option_id,option_name,short_text,tags,selectable,raw_selectable,assignment_basis,equipment_groups,tier,raw_tier_index,option_level_raw,option_level_group_index,option_level_group_number,group_index_offset_from_raw_tier,enabled,roll_index,value_0,value_1,value_2
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",0,0,1000,0,1,0,True,0,210,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",0,0,1000,0,1,0,True,1,220,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",0,0,1000,0,1,0,True,2,230,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",0,0,1000,0,1,0,True,3,240,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",0,0,1000,0,1,0,True,4,250,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",0,0,1000,0,1,0,True,5,260,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",0,0,1000,0,1,0,True,6,270,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",0,0,1000,0,1,0,True,7,280,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",0,0,1000,0,1,0,True,8,290,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",0,0,1000,0,1,0,True,9,300,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",1,1,5090,1,2,0,True,0,310,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",1,1,5090,1,2,0,True,1,320,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",1,1,5090,1,2,0,True,2,330,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",1,1,5090,1,2,0,True,3,340,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",1,1,5090,1,2,0,True,4,350,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",1,1,5090,1,2,0,True,5,360,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",1,1,5090,1,2,0,True,6,370,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",1,1,5090,1,2,0,True,7,380,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",1,1,5090,1,2,0,True,8,390,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",1,1,5090,1,2,0,True,9,400,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",2,2,17310,2,3,0,True,0,410,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",2,2,17310,2,3,0,True,1,420,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",2,2,17310,2,3,0,True,2,430,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",2,2,17310,2,3,0,True,3,440,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",2,2,17310,2,3,0,True,4,450,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",2,2,17310,2,3,0,True,5,460,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",2,2,17310,2,3,0,True,6,470,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",2,2,17310,2,3,0,True,7,480,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",2,2,17310,2,3,0,True,8,490,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",2,2,17310,2,3,0,True,9,500,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",3,3,27500,3,4,0,True,0,550,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",3,3,27500,3,4,0,True,1,565,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",3,3,27500,3,4,0,True,2,580,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",3,3,27500,3,4,0,True,3,595,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",3,3,27500,3,4,0,True,4,610,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",3,3,27500,3,4,0,True,5,625,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",3,3,27500,3,4,0,True,6,640,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",3,3,27500,3,4,0,True,7,655,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",3,3,27500,3,4,0,True,8,670,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",3,3,27500,3,4,0,True,9,685,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",4,4,28050,4,5,0,True,0,705,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",4,4,28050,4,5,0,True,1,720,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",4,4,28050,4,5,0,True,2,735,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",4,4,28050,4,5,0,True,3,750,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",4,4,28050,4,5,0,True,4,765,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",4,4,28050,4,5,0,True,5,780,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",4,4,28050,4,5,0,True,6,795,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",4,4,28050,4,5,0,True,7,810,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",4,4,28050,4,5,0,True,8,825,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",4,4,28050,4,5,0,True,9,840,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",5,5,30500,5,6,0,True,0,860,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",5,5,30500,5,6,0,True,1,875,0,0
63,힘상승,힘 +[0],스탯,True,True,InstandardEquip.OptionsByItemType,"장갑,한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,피리,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",5,5,30500,5,6,0,True,2,890,0,0
