source_file,block_index,header_offset_hex,section_type,section_group,non_empty_rows,slot_values,row_group_values,option_id_count,value_low16_min,value_low16_max,after_list_count,after_list_values,evidence_level
item_option_open.dat,0,0x0,7,0,75,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","1,2,3",24,3,144,23,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_binary_structure_unresolved_axis
item_option_open.dat,1,0xc20,8,0,80,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","1,2,3",28,0,216,23,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_binary_structure_unresolved_axis
item_option_open.dat,2,0x1828,9,0,89,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","1,2,3",33,0,504,23,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_binary_structure_unresolved_axis
item_option_open.dat,3,0x2430,11,0,105,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","1,2,3,4",29,4,880,23,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_binary_structure_unresolved_axis
item_option_open.dat,4,0x3038,7,1,44,"1,2,3,4,5,6,7,8,9,10,11,12,13","1,2",18,2,80,23,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_binary_structure_unresolved_axis
item_option_open.dat,5,0x3c40,8,1,59,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","1,2",22,0,150,23,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_binary_structure_unresolved_axis
item_option_open.dat,6,0x4848,9,1,67,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","1,2",27,0,231,23,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_binary_structure_unresolved_axis
item_option_open.dat,7,0x5450,11,1,77,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22","1,2,3",29,3,446,23,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_binary_structure_unresolved_axis
item_option_open.dat,8,0x6058,8,2,78,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","1,2,3",20,0,150,23,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_binary_structure_unresolved_axis
item_option_open.dat,9,0x6c60,9,3,90,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27","1,2,3",35,0,655,23,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_binary_structure_unresolved_axis
