source_file,block_index,section_type,section_group,file_offset_hex,open_slot_candidate,convertible_option_id,value_low16,value_high16,float_a,float_b,row_group,after_list_option_ids,evidence_level
item_option_open.dat,0,7,0,0x20,1,63,120,0,7.0,7.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x38,2,67,120,0,7.0,7.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x50,3,66,120,0,7.0,7.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x68,4,64,120,0,7.0,7.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x80,5,65,120,0,7.0,7.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x98,6,68,120,0,7.0,7.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0xb0,7,69,120,0,7.0,7.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0xc8,8,327,60,0,2.0,2.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0xe0,9,736,108,0,7.0,7.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0xf8,10,63,144,0,5.0,5.0,2,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x110,11,67,144,0,5.0,5.0,2,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x128,12,66,144,0,5.0,5.0,2,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x140,13,64,144,0,5.0,5.0,2,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x158,14,65,144,0,5.0,5.0,2,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x170,15,68,144,0,5.0,5.0,2,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x188,16,69,144,0,5.0,5.0,2,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x1a0,17,327,72,0,1.0,1.0,2,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x1b8,18,736,130,0,6.0,6.0,2,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x308,1,796,5,1,6.0,6.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x320,2,797,5,1,6.0,6.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x338,3,800,5,1,6.0,6.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x350,4,798,5,1,6.0,6.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x368,5,799,5,1,6.0,6.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x380,6,801,5,1,6.0,6.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x398,7,802,5,1,6.0,6.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
item_option_open.dat,0,7,0,0x3b0,8,460,48,0,10.0,9.0,1,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82",confirmed_table_row_unresolved_axis
