converter_type,converter_probability,converter_probability_source,equipment_bucket,item_group_ids,item_group_names,grade_code,grade_name,section_group,open_slot,candidate_index,option_id,option_name,option_value_arity,option_display,value_raw,value_0_low16,value_1_high16,normal_probability,improved_probability,option_tier,probability_sum_valid,source_file_name,source_block_index,source_file_offset,mapping_basis,mapping_confidence
일반 변환기,7,float_a,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,유니크,0,1,1,63,힘상승,1,힘 +120,120,120,0,7,7,1,true,item_option_open.dat,0,0x20,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,유니크,0,1,2,67,민첩성상승,1,민첩성 +120,120,120,0,7,7,1,true,item_option_open.dat,0,0x38,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,유니크,0,1,3,66,건강상승,1,건강 +120,120,120,0,7,7,1,true,item_option_open.dat,0,0x50,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,유니크,0,1,4,64,지혜상승,1,지혜 +120,120,120,0,7,7,1,true,item_option_open.dat,0,0x68,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,유니크,0,1,5,65,지식상승,1,지식 +120,120,120,0,7,7,1,true,item_option_open.dat,0,0x80,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,유니크,0,1,6,68,카리스마상승,1,카리스마 +120,120,120,0,7,7,1,true,item_option_open.dat,0,0x98,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,유니크,0,1,7,69,행운상승,1,운 +120,120,120,0,7,7,1,true,item_option_open.dat,0,0xb0,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,2,float_a,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,유니크,0,1,8,327,모든능력치증가,1,모든 스탯 60 증가,60,60,0,2,2,1,true,item_option_open.dat,0,0xc8,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,7,float_a,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,유니크,0,1,9,736,현아이템착용레벨감소,1,이 아이템의 착용 레벨 -108,108,108,0,7,7,1,true,item_option_open.dat,0,0xe0,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
일반 변환기,5,float_a,무기,"18,20,21,22,23,24,25,26,28,30,32,33,54,55,56,57,58,61,63,68,70,80,82","한 손 검,양손 검,마법 지팡이,이빨,메이스,날개,단도,활,창,슬링,마술봉,채찍,낫,손톱무기,책,빗자루,쌍검,암영 구체,쌍권총,연금석,격투무기,사슬닻,대포",7,유니크,0,1,10,63,힘상승,1,힘 +144,144,144,0,5,5,2,true,item_option_open.dat,0,0xf8,simpleGameText.dat item_group_id + capa.dat option_id,high_direct_local_join
