converter_type,item_group_id,bucket_signature_index,bucket_group_ids,section_type,section_group,open_slot,candidate_index,option_id,value_0,value_1,probability,probability_source,tier,mapping_status,source_block_index,source_file_offset
normal,0,5,0,11,0,1,1,63,232,0,10,float_a,1,structural_candidate,55,0x286e0
normal,0,5,0,11,0,1,2,63,446,0,2.5,float_a,2,structural_candidate,55,0x286f8
normal,0,5,0,11,0,1,3,67,232,0,10,float_a,1,structural_candidate,55,0x28710
normal,0,5,0,11,0,1,4,67,446,0,2.5,float_a,2,structural_candidate,55,0x28728
normal,0,5,0,11,0,1,5,66,232,0,10,float_a,1,structural_candidate,55,0x28740
normal,0,5,0,11,0,1,6,66,446,0,2.5,float_a,2,structural_candidate,55,0x28758
normal,0,5,0,11,0,1,7,64,232,0,10,float_a,1,structural_candidate,55,0x28770
normal,0,5,0,11,0,1,8,64,446,0,2.5,float_a,2,structural_candidate,55,0x28788
normal,0,5,0,11,0,1,9,65,232,0,10,float_a,1,structural_candidate,55,0x287a0
normal,0,5,0,11,0,1,10,65,446,0,2.5,float_a,2,structural_candidate,55,0x287b8
normal,0,5,0,11,0,1,11,68,232,0,10,float_a,1,structural_candidate,55,0x287d0
normal,0,5,0,11,0,1,12,68,446,0,2.5,float_a,2,structural_candidate,55,0x287e8
normal,0,5,0,11,0,1,13,69,232,0,10,float_a,1,structural_candidate,55,0x28800
normal,0,5,0,11,0,1,14,69,446,0,2.5,float_a,2,structural_candidate,55,0x28818
normal,0,5,0,11,0,1,15,736,300,0,10,float_a,1,structural_candidate,55,0x28830
normal,0,5,0,11,0,1,16,736,400,0,2.5,float_a,2,structural_candidate,55,0x28848
normal,0,5,0,11,0,2,1,63,446,0,1.41999996,float_a,2,structural_candidate,55,0x289c8
normal,0,5,0,11,0,2,2,67,446,0,1.41999996,float_a,2,structural_candidate,55,0x289e0
normal,0,5,0,11,0,2,3,66,446,0,1.41999996,float_a,2,structural_candidate,55,0x289f8
normal,0,5,0,11,0,2,4,64,446,0,1.41999996,float_a,2,structural_candidate,55,0x28a10
normal,0,5,0,11,0,2,5,65,446,0,1.41999996,float_a,2,structural_candidate,55,0x28a28
normal,0,5,0,11,0,2,6,68,446,0,1.41999996,float_a,2,structural_candidate,55,0x28a40
normal,0,5,0,11,0,2,7,69,446,0,1.41999996,float_a,2,structural_candidate,55,0x28a58
normal,0,5,0,11,0,2,8,0,26,0,9.01000023,float_a,1,structural_candidate,55,0x28a70
normal,0,5,0,11,0,2,9,0,33,0,9.01000023,float_a,2,structural_candidate,55,0x28a88
normal,0,5,0,11,0,2,10,351,98,0,9.01000023,float_a,1,structural_candidate,55,0x28aa0
normal,0,5,0,11,0,2,11,351,149,0,9.01000023,float_a,2,structural_candidate,55,0x28ab8
normal,0,5,0,11,0,2,12,725,690,0,9.01000023,float_a,1,structural_candidate,55,0x28ad0
normal,0,5,0,11,0,2,13,725,1100,0,9.01000023,float_a,2,structural_candidate,55,0x28ae8
normal,0,5,0,11,0,2,14,352,100,0,9,float_a,1,structural_candidate,55,0x28b00
normal,0,5,0,11,0,2,15,352,120,0,9,float_a,2,structural_candidate,55,0x28b18
normal,0,5,0,11,0,2,16,460,88,0,9,float_a,1,structural_candidate,55,0x28b30
normal,0,5,0,11,0,2,17,460,106,0,9,float_a,2,structural_candidate,55,0x28b48
normal,0,5,0,11,0,3,1,0,26,0,12,float_a,1,structural_candidate,55,0x28cb0
normal,0,5,0,11,0,3,2,0,33,0,0.5,float_a,2,structural_candidate,55,0x28cc8
normal,0,5,0,11,0,3,3,351,98,0,12,float_a,1,structural_candidate,55,0x28ce0
normal,0,5,0,11,0,3,4,351,149,0,0.5,float_a,2,structural_candidate,55,0x28cf8
normal,0,5,0,11,0,3,5,725,690,0,12,float_a,1,structural_candidate,55,0x28d10
normal,0,5,0,11,0,3,6,725,1100,0,0.5,float_a,2,structural_candidate,55,0x28d28
normal,0,5,0,11,0,3,7,352,100,0,12,float_a,1,structural_candidate,55,0x28d40
normal,0,5,0,11,0,3,8,352,120,0,0.5,float_a,2,structural_candidate,55,0x28d58
normal,0,5,0,11,0,3,9,460,88,0,12,float_a,1,structural_candidate,55,0x28d70
normal,0,5,0,11,0,3,10,460,106,0,0.5,float_a,2,structural_candidate,55,0x28d88
normal,0,5,0,11,0,3,11,70,18,0,12,float_a,1,structural_candidate,55,0x28da0
normal,0,5,0,11,0,3,12,70,22,0,0.5,float_a,2,structural_candidate,55,0x28db8
normal,0,5,0,11,0,3,13,463,30,0,12,float_a,1,structural_candidate,55,0x28dd0
normal,0,5,0,11,0,3,14,463,42,0,0.5,float_a,2,structural_candidate,55,0x28de8
normal,0,5,0,11,0,3,15,464,11,0,12,float_a,1,structural_candidate,55,0x28e00
